Generation,Worst,Average,Best
0,0.0,0.662160641249,0.955555555556
1,0.0,0.860896599,0.955555555556
2,0.28431372549,0.916516653612,0.955555555556
3,0.21115819209,0.891297569526,0.955555555556
4,0.166666666667,0.914443654753,0.977753058954
5,0.910543608124,0.945013205666,0.977753058954
6,0.84,0.93897609628,0.977753058954
7,0.931376941458,0.95620636441,0.977753058954
8,0.602272727273,0.937750425277,0.977753058954
9,0.910714285714,0.955504425846,0.977753058954
10,0.166666666667,0.947752234993,1.0
11,0.977753058954,0.995550611791,1.0
12,0.977753058954,0.998516870597,1.0
13,0.95617816092,0.998539272031,1.0
14,1.0,1.0,1.0
15,0.861111111111,0.959444791031,1.0
16,0.861111111111,0.966975909447,1.0
17,0.861111111111,0.96261152162,1.0
18,0.0,0.941420353891,1.0
19,0.864573160043,0.959760880522,1.0
20,0.977753058954,0.996292176492,1.0
